Product Name,Category,Price,Rating,Product Image URL,Product Link,Available
"INTIMIFY Professional Hair Clipper, Hair Trimmer & Shaver For Men, Stainless Steel Blade  Runtime: 120 min Trimmer for Men & Women",Personal Care,157,3.7,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/u/n/4/trimmer-0-25-9-mm-stainless-steel-professional-hair-clipper-hair-original-imah7c55xwyzwrut.jpeg?q=60,https://www.shopsy.in/intimify-professional-hair-clipper-hair-trimmer-shaver-for-men-stainless-steel-blade-runtime-120-min-trimmer-for-men-women/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
"Gracious Trimmer for men AT-538 with Chargeable cable with stylish hair cutting capability, Multicolour  Runtime: 55 min Trimmer for Men",Personal Care,300,3.9,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-trimmer/f/y/t/-original-imahgrfnsyvrhv7e.jpeg?q=60,https://www.shopsy.in/gracious-trimmer-for-men-at-538-with-chargeable-cable-with-stylish-hair-cutting-capability-multicolour-runtime-55-min-trimmer-for-men/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
"DENVER Black Code,Caliber,Honour & Imperial Nano Deo | Long Lasting (50ml x 4) Deodorant Spray  -  For Men",Personal Care,224,3.9,https://rukminim3.flixcart.com/image/546/564/xif0q/deodorant/g/d/q/200-black-code-caliber-honour-imperial-nano-deo-long-lasting-original-imaheswfdazmnxfw.jpeg?q=60,https://www.shopsy.in/denver-black-codecaliberhonour-imperial-nano-deo-long-lasting-50ml-x-4-deodorant-spray-for-men/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
shaggy Waterproof Liquid Pocket Matte Mini Lipsticks Set of 4,Lipstick,59,3.5,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lipstick/l/c/8/4-waterproof-liquid-pocket-matte-mini-lipsticks-set-of-4-lara-original-imagssy7m2qdfbkc.jpeg?q=60,https://www.shopsy.in/shaggy-waterproof-liquid-pocket-matte-mini-lipsticks-set-of-4/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Vagons nude edition super stay water proof liquid matte lipstick set of 4,Lipstick,63,4,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lipstick/g/m/o/16-nude-edition-super-stay-water-proof-liquid-matte-lipstick-set-original-imah8zy2dywmmcez.jpeg?q=60,https://www.shopsy.in/vagons-nude-edition-super-stay-water-proof-liquid-matte-lipstick-set-of-4/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
RVLIPS Matte Liquid Lipstick Set Multi Shade Collection Long Lasting And Moisturizing,Lipstick,102,4,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lipstick/s/y/z/10-matte-liquid-lipstick-set-multi-shade-collection-long-lasting-original-imahehq4yzxsjhfg.jpeg?q=60,https://www.shopsy.in/rvlips-matte-liquid-lipstick-set-multi-shade-collection-long-lasting-and-moisturizing/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
K3NTERPRISES Strawberry Glow Non-Transfer Matte Lipstick,Lipstick,125,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lipstick/e/e/2/6-strawberry-glow-non-transfer-matte-lipstick-k3nterprises-original-imaheyfgjknqhmar.jpeg?q=60,https://www.shopsy.in/k3nterprises-strawberry-glow-non-transfer-matte-lipstick/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
"Chip n Dale Non Transfer Lip Color |Matte Texture|12Hrs waterproof,Smudge Proof Lipsticks",Lipstick,118,3.6,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lipstick/8/g/n/16-non-transfer-lip-color-matte-texture-12hrs-waterproof-smudge-original-imah449juw7jfcrx.jpeg?q=60,https://www.shopsy.in/chip-n-dale-non-transfer-lip-color-matte-texture12hrs-waterproofsmudge-proof-lipsticks/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
GURIYA LIPSTICKS 3 ULTRA,Lipstick,50,3.6,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lipstick/l/l/r/30-lipsticks-3-ultra-guriya-original-imagvhryncpmcgzd.jpeg?q=60,https://www.shopsy.in/guriya-lipsticks-3-ultra/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
AP-OVENEL JELLY FLOWER COLOUR CHANGING LIPSTICK,Lipstick,62,3.6,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lipstick/b/4/g/3-6-jelly-flower-colour-changing-lipstick-ap-ovenel-original-imahyuyzeqz2mkdp.jpeg?q=60,https://www.shopsy.in/ap-ovenel-jelly-flower-colour-changing-lipstick/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
